Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Total_Duration,Engagement_Score,Bounce_Exit_Ratio,Returning_Visitor_Flag
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,1,1,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,2,2,1,2,Returning_Visitor,0,0,64.0,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,4,1,9,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,2,0.14,0.0,0.0,Feb,3,2,2,4,Returning_Visitor,0,0,2.666666667,0.0,0.35688793718772305,1
0,0.0,0,0.0,10,0.05,0.0,0.0,Feb,3,3,1,4,Returning_Visitor,1,0,627.5,0.0,0.39920159680638717,1
0,0.0,0,0.0,19,0.024561404,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,154.2166667,0.0,0.6402504091007958,1
0,0.0,0,0.0,1,0.2,0.0,0.4,Feb,2,4,3,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
1,0.0,0,0.0,0,0.2,0.0,0.0,Feb,1,2,1,5,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,2,0.1,0.0,0.8,Feb,2,2,2,3,Returning_Visitor,0,0,37.0,0.0,0.0,1
0,0.0,0,0.0,3,0.022222222,0.0,0.4,Feb,2,4,1,2,Returning_Visitor,0,0,738.0,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,1,1,3,3,Returning_Visitor,0,0,395.0,0.0,0.0,1
0,0.0,0,0.0,16,0.025833333,0.0,0.4,Feb,1,1,4,3,Returning_Visitor,0,0,407.75,0.0,0.7230077213754206,1
0,0.0,0,0.0,7,0.028571429,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,280.5,0.0,0.0,1
0,0.0,0,0.0,6,0.066666667,0.0,0.0,Feb,2,5,1,3,Returning_Visitor,0,0,98.0,0.0,0.0,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,3,2,3,3,Returning_Visitor,0,0,68.0,0.0,0.0,1
2,53.0,0,0.0,23,0.016312636,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,0,0,1721.285119,0.0,0.5077388543802471,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,1,1,4,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,13,0.007692308,0.0,0.0,Feb,1,1,1,4,Returning_Visitor,1,0,334.9666667,0.0,0.0,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,32.0,0.0,0.0,1
0,0.0,0,0.0,20,0.01,0.0,0.0,Feb,2,4,4,4,Returning_Visitor,0,0,2981.166667,0.0,0.0,1
0,0.0,0,0.0,8,0.008333333,0.0,1.0,Feb,2,2,5,1,Returning_Visitor,1,0,136.1666667,0.0,0.0,1
0,0.0,0,0.0,2,0.2,0.0,0.0,Feb,3,3,1,3,Returning_Visitor,0,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,3,0.033333333,0.0,0.0,Feb,3,2,1,5,Returning_Visitor,0,0,105.0,0.0,0.0,1
0,0.0,0,0.0,2,0.1,0.0,0.8,Feb,2,4,1,3,Returning_Visitor,0,0,15.0,0.0,0.0,1
0,0.0,0,0.0,1,0.2,0.0,0.0,Feb,2,2,4,1,Returning_Visitor,1,0,0.0,0.0,0.9995002498750625,1
0,0.0,0,0.0,5,0.04,0.0,0.0,Feb,1,1,9,3,Returning_Visitor,0,0,156.0,0.0,0.0,1
4,64.6,0,0.0,32,0.00952381,0.0,0.0,Feb,2,2,1,3,Returning_Visitor,0,0,1200.0444439999999,0.0,0.29688273147537203,1
0,0.0,0,0.0,4,0.1,0.0,0.0,Feb,1,1,1,3,Returning_Visitor,0,0,76.0,0.0,0.49950049950049946,1
0,0.0,0,0.0,4,0.05,0.0,0.2,Feb,2,6,1,3,Returning_Visitor,0,0,63.0,0.0,0.0,1
1,6.0,1,0.0,45,0.050821256,54.17976426,0.4,Feb,3,2,1,1,Returning_Visitor,0,0,1588.75,2438.0893917,0.8538332400913283,1
0,0.0,0,0.0,2,0.1,0.0,0.0,Feb,1,1,6,3,Returning_Visitor,0,0,35.0,0.0,0.0,1
0,0.0,0,0.0,3,0.066666667,0.0,0.0,Feb,1,2,6,6,Returning_Visitor,1,0,78.0,0.0,0.0,1
0,0.0,0,0.0,8,0.025,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,0,0,209.5,0.0,0.0,1
0,0.0,0,0.0,10,0.08,0.0,0.0,Feb,1,1,3,1,Returning_Visitor,0,0,183.6666667,0.0,0.4993757802746567,1
0,0.0,0,0.0,14,0.028571429,0.0,0.0,Feb,2,2,1,1,Returning_Visitor,0,0,380.5,0.0,0.4982560862243734,1
0,0.0,0,0.0,52,0.020352564,0.0,0.0,Feb,2,2,7,1,Returning_Visitor,0,0,2086.242857,0.0,0.7522096007131429,1
0,0.0,0,0.0,8,0.05625,0.0,0.0,Feb,3,2,1,4,Returning_Visitor,1,0,388.0,0.0,0.44365572315882873,1
2,18.0,0,0.0,5,0.028571429,0.0,0.8,Feb,2,2,8,4,Returning_Visitor,0,0,316.0,0.0,0.0,1
0,0.0,0,0.0,7,0.071428571,0.0,0.6,Feb,2,2,1,3,Returning_Visitor,0,0,63.0,0.0,0.39944079128884036,1
0,0.0,0,0.0,9,0.022222222,0.0,0.0,Feb,2,5,1,6,Returning_Visitor,0,0,482.0,0.0,0.0,1
1,9.0,0,0.0,46,0.001794872,0.0,0.0,Feb,2,2,8,4,Returning_Visitor,0,0,4093.393939,0.0,0.0,1
